Genus,Mean_SHAP
[Eubacterium] hallii group,0.05482025188782388
Intestinibacter,0.050609086488723955
Lachnospiraceae FCS020 group,0.035554404866309244
Coprococcus,0.03445081805990854
Subdoligranulum,0.03293726537613382
Faecalibacterium,0.03201643812516191
Romboutsia,0.028939699948443306
Marvinbryantia,0.025598709148272922
Terrisporobacter,0.02251941990722757
Slackia,0.022083004105582796
